rank,worldId,seasons,seasonCount,teams,strongTeams,eliteTeams,strongShare,eliteShare,gachiIndex,medianScore,p90Score,topTeams
1,21,2616-2623,8,256,73,32,0.28515625,0.125,142.578125,52.48171439658714,64.49663016069275,"ファンタジア(2620, 73.2); ファンタジア(2621, 73.2); ファンタジア(2617, 72.5); ファンタジア(2616, 72.5); ファンタジア(2618, 72.5)"
2,9,2616-2623,8,256,67,31,0.26171875,0.12109375,130.859375,52.63720315497112,64.29909496639652,"ジデンFC(2621, 72.0); ペニさんFC(2622, 71.6); ペニさんFC(2623, 70.4); ふきげんぱんだ(2617, 70.4); ふきげんぱんだ(2619, 70.4)"
3,16,2616-2623,8,256,64,34,0.25,0.1328125,125.0,51.02205645941498,64.376461006441,"ウォッカ(2616, 72.5); ライ　(2620, 69.3); チョコポメ(2622, 69.0); ラツィオ 99-00(2620, 68.9); FCバルサミコ(2622, 68.4)"
4,17,2616-2623,8,256,62,38,0.2421875,0.1484375,121.09375,49.63164900707004,65.5053121327546,"東京C エスペリオン(2621, 85.5); 東京C エスペリオン(2623, 84.8); 東京C エスペリオン(2620, 82.2); 東京C エスペリオン(2619, 82.2); 東京C エスペリオン(2622, 80.1)"
5,4,2616-2623,8,256,62,24,0.2421875,0.09375,121.09375,49.67742066074783,62.72618538946737,"ポテチ(2618, 75.1); ポテチ(2617, 74.1); コルホーズ(2616, 70.6); ポテチ(2621, 70.4); ざみーとす(2622, 68.8)"
6,1,2616-2623,8,256,59,35,0.23046875,0.13671875,115.234375,48.5839229954657,64.68218184709664,"颯FC(2622, 72.3); 颯FC(2617, 71.0); 颯FC(2619, 70.8); 颯FC(2618, 70.4); 颯FC(2620, 70.1)"
7,8,2616-2623,8,256,54,25,0.2109375,0.09765625,105.46875,48.937574575542676,62.01115619850737,"爽やかナ・デ・シココ(2618, 73.3); 爽やかナ・デ・シココ(2620, 72.0); 爽やかナ・デ・シココ(2619, 71.9); みゃおFC(2621, 67.7); 象潟食堂(2619, 67.1)"
8,14,2616-2623,8,256,53,31,0.20703125,0.12109375,103.515625,50.708812529758646,64.09149717821732,"ニコン(2618, 74.2); 7990301(2616, 72.2); FC目黒(2618, 71.6); FC目黒(2619, 71.6); FC目黒(2617, 71.6)"
9,13,2616-2623,8,256,53,29,0.20703125,0.11328125,103.515625,47.47117066372036,64.05045792840073,"バナントンガラグ(2616, 78.5); バナントンガラグ(2617, 74.5); FC  ぐでたま(2623, 71.6); FC  ぐでたま(2619, 71.6); FC  ぐでたま(2622, 70.3)"
10,6,2616-2623,8,256,52,34,0.203125,0.1328125,101.5625,48.43227912156162,65.69927565886027,"CFC(2616, 72.4); イワキリ(2616, 71.6); イワキリ(2617, 71.6); イワキリ(2618, 71.6); イワキリ(2619, 71.6)"
