personId,names,ids,categories,rates,candidateRank,candidateModel,candidateName,existsInSiteModel,existsInDbModel,sourceUrl
1986,J・アルフォンス,1986|2586,SS,7|7,,,,False,False,
1743,べレ・ワリ|バーニー,1743|1858|2089|2705,NR|SS,4|7|7|7,,,,False,False,
1373,アニシナ,1373|2370,SS,7|7,,,,False,False,
618,アバティーノ,618|2165,NR|SS,5|7,,,,False,False,
2267,アラン・トレオラ,2267|2555,SS,7|7,,,,False,False,
616,アルシェ,616|894|1614,CM|NR,4|4|5,,,,False,False,
702,アルベルダ,702,CM,4,,,,False,False,
1337,アルベルダ,1337,SS,7,,,,False,False,
1748,イヨバ|ドグレル,1748|1847,NR|SS,4|7,1,アレックス・イウォビ,イヨバ,False,False,https://sp.rohm.websoccer.info/player/2575
1748,イヨバ|ドグレル,1748|1847,NR|SS,4|7,2,ハンス＝イェルク・ブット,バッハ,False,False,https://sp.rohm.websoccer.info/player/148
797,イヨバ|ミレー,797|1846,SS,7|7,1,ミケル・ジョン・オビ,ミレー,False,False,https://sp.rohm.websoccer.info/player/919
797,イヨバ|ミレー,797|1846,SS,7|7,2,アラン・シアラー,ミラー,False,False,https://sp.rohm.websoccer.info/player/666
949,ウィリー,949|1406,SS,7|7,,,,False,False,
737,エスクエダ,737|953|1043|1932,NR|SS,7|7|6|7,,,,False,False,
682,エスピノーサ|ドミンゲス,682|748|1526|1870|2512,NR|SS,6|7|7|7|7,1,ファン・クアドラード,エスピノーサ,False,False,https://sp.rohm.websoccer.info/player/1276
1750,エスピノーサ|バリントン・サントス,1750|1869|2300|3097,NR|SS,4|7|7|7,1,ダビンソン・サンチェス,バリントン・サントス,False,False,https://sp.rohm.websoccer.info/player/2574
1750,エスピノーサ|バリントン・サントス,1750|1869|2300|3097,NR|SS,4|7|7|7,2,ハメス・ロドリゲス,ドミンゲス,False,False,https://sp.rohm.websoccer.info/player/1029
1623,エルバス,1623|2377,CM|SS,4|7,,,,False,False,
696,カクタ|ジルベール,696|758|1345|1362|1436|1852|2149|2426|2670,CM|NR|SS,6|7|5|7|7|7|7|7|7,1,エデン・アザール,ジルベール,False,False,https://sp.rohm.websoccer.info/player/796
696,カクタ|ジルベール,696|758|1345|1362|1436|1852|2149|2426|2670,CM|NR|SS,6|7|5|7|7|7|7|7|7,2,ヤン・フェルトンゲン,シルヴェストル,False,False,https://sp.rohm.websoccer.info/player/1953
697,カクタ|リーキー,697|757|1694|1853|2162|2427|2671|2842|3090|3142,CM|NR|SS,4|7|7|7|7|7|7|7|7|5,1,ロメル・ルカク,カクタ,False,False,https://sp.rohm.websoccer.info/player/4048
697,カクタ|リーキー,697|757|1694|1853|2162|2427|2671|2842|3090|3142,CM|NR|SS,4|7|7|7|7|7|7|7|7|5,2,ヴァンサン・コンパニ,カンパリ,False,False,https://sp.rohm.websoccer.info/player/21
691,カルレロ|ドミンゲス,691|747|937|969|1871,CM|NR|SS,5|7|7|5|7,1,ハメス・ロドリゲス,ドミンゲス,False,False,https://sp.rohm.websoccer.info/player/1029
691,カルレロ|ドミンゲス,691|747|937|969|1871,CM|NR|SS,5|7|7|5|7,2,ダビンソン・サンチェス,バリントン・サントス,False,False,https://sp.rohm.websoccer.info/player/2574
624,カルレロ|吉田　友樹,624|1503|1872|2150,NR|SS,5|7|7|7,1,ラダメル・ファルカオ・ガルシア,カルレロ,False,False,https://sp.rohm.websoccer.info/player/356
726,カルロス・グスマン,726|1319,SS,7|7,,,,False,False,
1983,カレル,1983|2469,SS,7|7,,,,False,False,
639,カンパリ|シルヴェストル,639|762|1574|1849|2732|2885,NR|SS,6|7|7|7|7|7,1,ヴァンサン・コンパニ,カンパリ,False,False,https://sp.rohm.websoccer.info/player/21
639,カンパリ|シルヴェストル,639|762|1574|1849|2732|2885,NR|SS,6|7|7|7|7|7,2,ロメル・ルカク,カクタ,False,False,https://sp.rohm.websoccer.info/player/4048
764,カンパリ|ドグレル,764|1019|1369|1848|2148|2667,NR|SS,7|6|7|7|7|7,1,ティボー・クルトワ,ドグレル,False,False,https://sp.rohm.websoccer.info/player/2339
