image_key,occurrence_count,rohm_player_ids,rohm_names,rohm_categories,current_player_ids,formation_slots,candidate_ids,source_image_url
img2,49,1130,プラッソン,PS,1104,1:7 2:9 4:9 8:9 9:9 10:9 13:8 13:9 18:9 20:8 22:9 23:9 26:9 28:8 29:9 32:9 35:9 35:11 36:9 37:9 38:7 46:9 47:8 48:9 50:10 50:11 55:8 57:10 61:9 64:10 64:11 66:8 68:9 69:9 70:9 71:8 72:10 76:8 78:9 80:10 81:9 83:9 84:9 85:9 86:8 87:9 89:9 91:9 92:8,1104 1786,https://storage.googleapis.com/rohm-websoccer-info/images/player/static/m/1247.gif
img1,49,2376,プラッソン,PS,1104,1:7 2:9 4:9 8:9 9:9 10:9 13:8 13:9 18:9 20:8 22:9 23:9 26:9 28:8 29:9 32:9 35:9 35:11 36:9 37:9 38:7 46:9 47:8 48:9 50:10 50:11 55:8 57:10 61:9 64:10 64:11 66:8 68:9 69:9 70:9 71:8 72:10 76:8 78:9 80:10 81:9 83:9 84:9 85:9 86:8 87:9 89:9 91:9 92:8,1104 1786,https://storage.googleapis.com/rohm-websoccer-info/images/player/static/m/2462.gif
img5,22,1924,ボルト,PS,1729,1:10 2:10 2:11 3:10 10:10 18:10 26:10 43:10 47:10 52:11 53:10 53:11 69:10 70:11 72:9 78:11 81:10 87:10 87:11 90:10 92:11 93:10,646 1216 1729,https://storage.googleapis.com/rohm-websoccer-info/images/player/static/m/2001.gif
img6,22,2374,ボルト,PS,1729,1:10 2:10 2:11 3:10 10:10 18:10 26:10 43:10 47:10 52:11 53:10 53:11 69:10 70:11 72:9 78:11 81:10 87:10 87:11 90:10 92:11 93:10,646 1216 1729,https://storage.googleapis.com/rohm-websoccer-info/images/player/static/m/2459.gif
img17,10,1239,ヒューズ,PS,1111,32:8 38:8 46:6 59:7 73:8 78:6 78:7 93:6 101:9 104:7,453 774 1111 1452 847,https://storage.googleapis.com/rohm-websoccer-info/images/player/static/m/1371.gif
img18,10,1847,ヒューズ,PS,1111,32:8 38:8 46:6 59:7 73:8 78:6 78:7 93:6 101:9 104:7,453 774 1111 1452 847,https://storage.googleapis.com/rohm-websoccer-info/images/player/static/m/1929.gif
img8,10,1152,ビデラ,PS,1170,2:8 6:7 10:8 13:7 28:7 32:8 57:7 73:9 75:8 87:7,686 783 1170 1680 1757 1977 2176 2622,https://storage.googleapis.com/rohm-websoccer-info/images/player/static/m/1253.gif
img7,10,1549,ビデラ,PS,1170,2:8 6:7 10:8 13:7 28:7 32:8 57:7 73:9 75:8 87:7,686 783 1170 1680 1757 1977 2176 2622,https://storage.googleapis.com/rohm-websoccer-info/images/player/static/m/1651.gif
img10,9,987,オーフェン,PS,1771,2:11 3:11 4:11 18:11 23:11 47:9 57:9 65:9 91:11,33 3172 1771 845,https://storage.googleapis.com/rohm-websoccer-info/images/player/static/m/1107.gif
img9,9,2392,オーフェン,PS,1771,2:11 3:11 4:11 18:11 23:11 47:9 57:9 65:9 91:11,33 3172 1771 845,https://storage.googleapis.com/rohm-websoccer-info/images/player/static/m/2457.gif
img3,6,1235,ランフォード,PS,1112,1:8 37:7 38:8 62:8 64:7 88:8,449 773 1112 2378 2600 2940 883 679,https://storage.googleapis.com/rohm-websoccer-info/images/player/static/m/1398.gif
img4,6,1850,ランフォード,PS,1112,1:8 37:7 38:8 62:8 64:7 88:8,449 773 1112 2378 2600 2940 883 679,https://storage.googleapis.com/rohm-websoccer-info/images/player/static/m/1930.gif
img19,5,1361,アウアー,PS,1091,47:1 61:1 64:1 71:1 76:1,513 835 1091 1649 1922 1997 2924 660,https://storage.googleapis.com/rohm-websoccer-info/images/player/static/m/1455.gif
img20,5,2175,アウアー,PS,1091,47:1 61:1 64:1 71:1 76:1,513 835 1091 1649 1922 1997 2924 660,https://storage.googleapis.com/rohm-websoccer-info/images/player/static/m/2248.gif
img11,4,1587,G・フェラー,PS,2336,9:11 43:11 73:10 105:10,1465 2336,https://storage.googleapis.com/rohm-websoccer-info/images/player/static/m/1684.gif
img12,4,2390,G・フェラー,PS,2336,9:11 43:11 73:10 105:10,1465 2336,https://storage.googleapis.com/rohm-websoccer-info/images/player/static/m/2465.gif
img15,4,2046,トレッリ,PS,1175,32:4 50:3 64:4 90:4,1539 3113 1175 1958 2421,https://storage.googleapis.com/rohm-websoccer-info/images/player/static/m/2121.gif
img13,3,1140,ボッシ,PS,1179,17:11 47:11 113:11,1179,https://storage.googleapis.com/rohm-websoccer-info/images/player/static/m/1249.gif
img14,3,2398,ボッシ,PS,1179,17:11 47:11 113:11,1179,https://storage.googleapis.com/rohm-websoccer-info/images/player/static/m/2463.gif
img16,2,1351,トレッリ,PS,1175,32:4 64:4,1539 3113 1175 1958 2421,https://storage.googleapis.com/rohm-websoccer-info/images/player/static/m/1443.gif
